timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2024-01-24 00:00:00+00:00,39849.0,40515.0,39461.0,40074.0,39.05753,-794.39026,42979.95,42979.95,106134443.18873,2029.59,2036.78,2011.06,2014.21,45.148,-1.67008,2037.9505,2037.9505,546589
2024-01-25 00:00:00+00:00,40074.0,40278.0,39531.0,39916.0,38.46008,-861.29066,42766.55,42766.55,91640429.41826,2015.98,2025.44,2009.47,2019.92,47.10128,-2.17587,2035.0885,2035.0885,443338
2024-01-26 00:00:00+00:00,39929.0,42233.0,39808.0,41818.0,48.64422,-752.16373,42657.5,42657.5,147436980.90424,2020.29,2026.75,2015.81,2018.34,46.60671,-2.67338,2032.725,2032.725,355391
2024-01-29 00:00:00+00:00,42027.0,43305.0,41804.0,43305.0,55.54783,-360.99429,42177.1,42177.1,99823854.47269,2023.75,2037.46,2019.18,2031.72,51.27274,-1.96535,2031.174,2031.174,288179
2024-01-30 00:00:00+00:00,43302.0,43853.0,42692.0,42946.0,53.63423,-244.1333,41990.35,41990.35,98413645.47539,2032.77,2048.64,2028.96,2036.39,52.82241,-1.0157,2030.049,2030.049,414128
2024-01-31 00:00:00+00:00,42945.0,43738.0,42264.0,42558.0,51.56658,-180.74497,41800.25,41800.25,139866006.32105,2036.44,2056.07,2030.79,2038.75,53.62508,-0.07183,2029.9345,2029.9345,569048
2024-02-01 00:00:00+00:00,42548.0,43263.0,41859.0,43071.0,54.08682,-88.0989,41814.9,41814.9,80565208.80396,2039.78,2065.54,2029.93,2054.62,58.71216,1.93447,2030.4905,2030.4905,591935
2024-02-02 00:00:00+00:00,43075.0,43451.0,42538.0,43183.0,54.64175,-5.57449,41831.9,41831.9,81904123.66056,2054.46,2057.73,2027.73,2039.44,52.75143,2.27337,2030.2095,2030.2095,383513
2024-02-05 00:00:00+00:00,42568.0,43515.0,42244.0,42659.0,51.3707,58.76057,41876.1,41876.1,86559032.47934,2041.8,2042.29,2014.76,2024.74,47.70099,1.34033,2030.0505,2030.0505,397738
2024-02-06 00:00:00+00:00,42657.0,43366.0,42521.0,43092.0,54.0287,100.56451,41893.8,41893.8,66441499.1095,2025.3,2038.96,2022.77,2035.86,51.48493,1.48112,2030.3425,2030.3425,191843
2024-02-07 00:00:00+00:00,43093.0,44389.0,42764.0,44346.0,60.72412,232.20505,42046.95,42046.95,73915301.61101,2035.68,2044.64,2030.5,2034.76,51.09113,1.48679,2030.876,2030.876,142465
2024-02-08 00:00:00+00:00,44342.0,45587.0,44325.0,45300.0,64.91106,408.79857,42230.55,42230.55,140509985.86753,2035.68,2038.7,2020.08,2033.97,50.79067,1.41126,2031.143,2031.143,151331
2024-02-09 00:00:00+00:00,45299.0,48201.0,45252.0,47161.0,71.33143,690.95249,42504.95,42504.95,154112381.17761,2034.85,2037.28,2020.2,2023.79,46.95833,0.52393,2029.8945,2029.8945,137919
2024-02-12 00:00:00+00:00,48313.0,50333.0,47720.0,49937.0,78.37684,1492.36665,43758.15,43758.15,129590357.64166,2026.07,2027.59,2011.75,2019.87,45.5336,-0.48995,2028.158,2028.158,139042
2024-02-13 00:00:00+00:00,49937.0,50385.0,48325.0,49720.0,76.71632,1694.73594,44240.45,44240.45,105774226.74522,2019.76,2031.91,1989.97,1992.85,37.16363,-3.43416,2026.39,2026.39,153666
2024-02-14 00:00:00+00:00,49728.0,52093.0,49267.0,51844.0,80.96687,2003.41004,44836.85,44836.85,128057911.59775,1992.09,1996.12,1984.03,1992.03,36.94169,-5.76715,2025.6815,2025.6815,145695
2024-02-15 00:00:00+00:00,51841.0,52884.0,51364.0,51942.0,81.13796,2230.23551,45343.05,45343.05,134038755.7767,1993.26,2008.38,1990.09,2004.14,42.4113,-6.56323,2024.7465,2024.7465,138883
2024-02-16 00:00:00+00:00,51935.0,52600.0,51615.0,52161.0,81.53738,2400.00207,45844.9,45844.9,92135592.06386,2004.56,2015.24,1995.19,2013.58,46.32006,-6.3591,2023.959,2023.959,134063
2024-02-19 00:00:00+00:00,52155.0,52496.0,51694.0,51789.0,75.76299,2518.43076,47210.2,47210.2,58180302.69557,2012.06,2023.04,2011.38,2017.91,48.06143,-5.78128,2023.797,2023.797,99424
2024-02-20 00:00:00+00:00,51776.0,53015.0,50770.0,52275.0,77.03074,2521.94139,47696.05,47696.05,128808168.65968,2016.88,2030.94,2014.87,2023.74,50.39474,-4.79763,2023.5315,2023.5315,130543
2024-02-21 00:00:00+00:00,52272.0,52397.0,50611.0,51843.0,73.35764,2461.49027,48134.65,48134.65,116797503.12434,2024.15,2032.27,2020.05,2025.64,51.16473,-3.82071,2024.103,2024.103,140852
2024-02-22 00:00:00+00:00,51857.0,52049.0,50921.0,51253.0,68.55002,2339.01159,48538.15,48538.15,103799920.61541,2026.22,2034.86,2019.48,2024.43,50.62578,-3.10831,2024.3285,2024.3285,148581
2024-02-23 00:00:00+00:00,51252.0,51507.0,50519.0,50743.0,64.60839,2175.71335,48925.6,48925.6,97613534.24729,2024.29,2041.39,2015.92,2035.69,55.34022,-1.6165,2025.196,2025.196,150657
